FUNCTION,AGENCY
VF 418 WATER SUPPLY,VA 4134 Yallourn North Sewerage Authority 1965 -1983 Prime
VF 466 RAILWAY CONSTRUCTION,VA 2987 Melbourne Underground Rail Loop Authority 1965 -1983 Prime
VF 418 WATER SUPPLY,VA 1975 Drouin Sewerage Authority 1965 -1984 Prime
VF 188 WEIGHTS AND MEASURES,VA 601 Local Government Department 1965 -1985 Prime
VF 418 WATER SUPPLY,VA 4123 Erica Waterworks Trust 1966 -1983 Prime
VF 122 RURAL WATER SUPPLY,VA 4721 Alberton/Port Albert Waterworks Trust 1966 -1984 Prime
VF 418 WATER SUPPLY,VA 4721 Alberton/Port Albert Waterworks Trust 1966 -1984 Prime
VF 418 WATER SUPPLY,VA 1979 Foster Sewerage Authority 1966 -1984 Prime
"VF 352 ENGINE DRIVERS AND BOILER ATTENDANTS, CERTIFICATION OF",VA 1366 Board of Examiners for Steam Engine Drivers and Boiler Attendants 1967 -1995 Prime
VF 175 ABORIGINAL AFFAIRS,VA 2873 Ministry for Aboriginal Affairs 1968 -1975 Prime
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",VA 475 Chief Secretary's Department 1968 -1979 Other
VF 94 LIQUOR LICENSING,VA 1110 Liquor Control Commission 1968 -1988 Prime
"VF 444 HOUSING, PUBLIC (ABORIGINES)",VA 2873 Ministry for Aboriginal Affairs 1968 -ct Prime
"VF 452 LIQUOR LICENCES, REDUCTION/COMPENSATION",VA 1110 Liquor Control Commission 1968 -ct Prime
VF 418 WATER SUPPLY,VA 2004 Melton Sewerage Authority 1969 -1983 Prime
VF 418 WATER SUPPLY,VA 2068 Briagolong Waterworks Trust 1969 -1984 Prime
VF 194 ARTS,VA 3023 Mornington Peninsula Arts Centre 1969 -ct Prime
VF 189 TOURISM,VA 2919 Ministry of Tourism I 1970 -1971 Prime
VF 141 CONSUMER PROTECTION,VA 2735 Consumer Protection Bureau 1970 -1974 Prime
VF 350 CONSUMER AFFAIRS CONSULTATION,VA 3135 Consumer Affairs Council 1970 -1983 Prime
VF 418 WATER SUPPLY,VA 4122 Churchill Sewerage Authority 1970 -1983 Prime
VF 122 RURAL WATER SUPPLY,"VA 2147 Poowong, Loch and Nyora Waterworks Trust 1970 -1984 Prime"
VF 418 WATER SUPPLY,"VA 2147 Poowong, Loch and Nyora Waterworks Trust 1970 -1984 Prime"
VF 418 WATER SUPPLY,VA 2048 Wonthaggi Sewerage Authority 1970 -1984 Prime
VF 182 ENVIRONMENT PROTECTION (REGULATION),VA 1058 Environment Protection Authority 1970 -ct Prime
"VF 298 CHILDREN'S HOMES, FUNDING","VA 2784 Social Welfare Branch, Chief Secretary's Department 1971 -1971 Prime"
VF 138 IMMIGRATION (TWENTIETH CENTURY),VA 552 Department of State Development (from 1972 also known as Department of State Development and Decentralisation) 1971 -1977 Prime
VF 170 REGIONAL DEVELOPMENT,VA 552 Department of State Development (from 1972 also known as Department of State Development and Decentralisation) 1971 -1978 Prime
VF 189 TOURISM,VA 552 Department of State Development (from 1972 also known as Department of State Development and Decentralisation) 1971 -1978 Prime
VF 13 PRISONS AND YOUTH TRAINING CENTRES,VA 946 Social Welfare Department 1971 -1979 Prime
VF 93 PROBATION AND PAROLE SERVICES (YOUTH),VA 946 Social Welfare Department 1971 -1979 Prime
VF 160 ROAD SAFETY AND TRAFFIC MANAGEMENT,VA 475 Chief Secretary's Department 1971 -1979 Prime
VF 190 PROBATION AND PAROLE SERVICES (ADULT),VA 946 Social Welfare Department 1971 -1979 Prime
VF 251 WELFARE SERVICES (PRE-SCHOOL CHILDREN),VA 946 Social Welfare Department 1971 -1979 Prime
VF 252 WELFARE SERVICES,VA 946 Social Welfare Department 1971 -1979 Prime
VF 267 EMPLOYMENT OF CHILDREN,VA 946 Social Welfare Department 1971 -1979 Prime
"VF 298 CHILDREN'S HOMES, FUNDING",VA 946 Social Welfare Department 1971 -1979 Prime
VF 424 CHILD MAINTENANCE (FINANCIAL ALLOWANCES FOR),VA 946 Social Welfare Department 1971 -1979 Prime
"VF 427 CHILDREN, NEGLECTED, REGISTRATION OF HOMES FOR",VA 946 Social Welfare Department 1971 -1979 Prime
"VF 450 JUVENILE DELINQUENTS, DETENTION AND WELFARE OF",VA 946 Social Welfare Department 1971 -1979 Prime
VF 496 WELFARE SERVICES (FAMILY),VA 946 Social Welfare Department 1971 -1979 Prime
VF 498 WELFARE SERVICES (NEGLECTED CHILDREN),VA 946 Social Welfare Department 1971 -1979 Prime
VF 499 WELFARE SERVICES (YOUTH),VA 946 Social Welfare Department 1971 -1979 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4929 Cowes Sewerage Authority 1971 -1983 Prime
VF 418 WATER SUPPLY,VA 4772 Sunbury Sewerage Authority 1971 -1983 Prime
VF 418 WATER SUPPLY,VA 4929 Cowes Sewerage Authority 1971 -1983 Prime
VF 120 SCHOOL ATTENDANCE REGULATION,VA 2633 Department of Community Services (also known as Community Services Victoria) 1971 -1987 Prime
VF 168 INDUSTRIAL RELATIONS (PUBLIC SECTOR),VA 1027 Department of Labour and Industry 1972 -1977 Prime
VF 316 EDUCATION (TEACHER TRAINING PROGRAMMES) TO C.1987,VA 437 State College of Victoria 1972 -1980 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2094 Shire of Glenelg Waterworks Trust 1972 -1984 Prime
VF 201 RACING AND GAMING,"VA 1028 Department of Youth, Sport and Recreation 1972 -1985 Prime"
VF 202 SPORT AND RECREATION,"VA 1028 Department of Youth, Sport and Recreation 1972 -1985 Prime"
VF 203 YOUTH AFFAIRS,"VA 1028 Department of Youth, Sport and Recreation 1972 -1985 Prime"
VF 82 GALLERIES,VA 1025 Ministry for the Arts 1972 -1992 Prime
VF 193 ARTS FUNDING,VA 1025 Ministry for the Arts 1972 -1992 Prime
VF 194 ARTS,VA 1025 Ministry for the Arts 1972 -1992 Prime
VF 206 PUBLIC RECORDS,VA 475 Chief Secretary's Department 1973 -1978 Other
VF 364 LEGAL AID,VA 4150 Australian Legal Aid Office 1973 -1981 Prime
VF 98 FISHERIES AND WILDLIFE,VA 551 Ministry for Conservation 1973 -1983 Prime
"VF 230 FISHERIES, COMMERCIAL LICENCES",VA 551 Ministry for Conservation 1973 -1983 Prime
VF 418 WATER SUPPLY,VA 4769 Riddells Creek Sewerage Authority 1973 -1983 Prime
VF 418 WATER SUPPLY,VA 2100 Heyfield Waterworks Trust 1973 -1984 Prime
VF 418 WATER SUPPLY,VA 1991 Inverloch Sewerage Authority 1973 -1984 Prime
"VF 61 BUILDING SOCIETIES, REGULATION OF",VA 609 Ministry of Housing 1973 -1986 Prime
"VF 301 POLICE, INVESTIGATION OF COMPLAINTS CONCERNING",VA 1037 Office of the Ombudsman (Ombudsman Victoria) 1973 -1986 Prime
"VF 174 HOUSING, PUBLIC",VA 609 Ministry of Housing 1973 -1987 Prime
VF 412 TEACHERS (REGISTRATION OF),VA 1634 Primary Teachers Registration Board 1973 -1987 Prime
VF 412 TEACHERS (REGISTRATION OF),VA 1226 Teacher Registration Council 1973 -1987 Prime
"VF 22 LIBRARY, STATE",VA 1025 Ministry for the Arts 1973 -1992 Prime
VF 412 TEACHERS (REGISTRATION OF),VA 1636 Technical Teachers Registration Board 1973 -1992 Prime
VF 206 PUBLIC RECORDS,VA 683 Public Record Office [also known as Public Record Office Victoria from c.1996] 1973 -ct Prime
VF 366 ADMINISTRATIVE APPEALS,VA 1082 Crimes Compensation Tribunal 1973 -ct Prime
VF 394 LAW,VA 1082 Crimes Compensation Tribunal 1973 -ct Prime
"VF 52 ESTATE AGENTS, REGISTRATION OF",VA 475 Chief Secretary's Department 1974 -1978 Prime
VF 158 ROADS AND BRIDGES (METROPOLITAN),VA 722 Country Roads Board 1974 -1983 Prime
VF 418 WATER SUPPLY,VA 1986 Heyfield Sewerage Authority 1974 -1984 Prime
VF 141 CONSUMER PROTECTION,VA 1026 Ministry of Consumer Affairs 1974 -1992 Prime
"VF 356 SCAFFOLDING INSPECTORS AND SCAFFOLDERS, CERTIFICATION OF",VA 1365 Board of Examiners (Scaffolding) 1974 -1995 Prime
VF 3 CENSUS AND STATISTICS,"VA 4260 Australian Bureau of Statistics, Victoria 1974 -ct Other"
VF 41 CORPORATE AFFAIRS,VA 679 Corporate Affairs Office 1974 -ct Prime
VF 102 METROPOLITAN FORESHORES,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1974 -ct Prime
VF 400 PARLIAMENT,VA 4109 Legislative Assembly Privileges Committee 1974 -ct Prime
VF 175 ABORIGINAL AFFAIRS,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) 1975 -1982 Prime
VF 141 CONSUMER PROTECTION,VA 2736 Consumer Affairs Bureau 1975 -1983 Other
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,VA 900 Industrial Training Commission 1975 -1987 Prime
"VF 69 INSURANCE, STATE",VA 1033 State Insurance Office 1975 -1996 Prime
VF 462 PUBLIC SERVICE PROMOTION APPEALS DETERMINATION,VA 1418 Promotions Appeals Board 1975 -ct Prime
VF 435 FILM PRODUCTION AND PROMOTION,VA 2723 Victorian Film Corporation 1976 -1982 Prime
VF 418 WATER SUPPLY,VA 2023 Romsey Sewerage Authority 1976 -1983 Prime
VF 118 DAY TRAINING CENTRES,VA 714 Education Department 1976 -1985 Prime
VF 83 MUSEUMS,VA 1025 Ministry for the Arts 1976 -1992 Prime
VF 407 SMALL BUSINESS,VA 1108 Small Business Development Corporation (trading from 1993 as Small Business Victoria) 1976 -1996 Prime
VF 316 EDUCATION (TEACHER TRAINING PROGRAMMES) TO C.1987,VA 1186 Bendigo College of Advanced Education 1976 -ct Prime
VF 59 EQUAL OPPORTUNITY,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) 1977 -1982 Prime
VF 168 INDUSTRIAL RELATIONS (PUBLIC SECTOR),VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) 1977 -1982 Prime
VF 418 WATER SUPPLY,VA 4130 Shire of Narracan Sewerage Authority 1977 -1983 Prime
VF 150 DANGEROUS GOODS,VA 611 Department of Minerals and Energy 1977 -1984 Prime
VF 24 GEOLOGICAL SURVEY,VA 611 Department of Minerals and Energy 1977 -1985 Prime
VF 149 GROUNDWATER RESOURCES,VA 611 Department of Minerals and Energy 1977 -1985 Prime
VF 151 MINING AND EXTRACTIVE INDUSTRIES,VA 611 Department of Minerals and Energy 1977 -1985 Prime
VF 152 PETROLEUM INDUSTRY,VA 611 Department of Minerals and Energy 1977 -1985 Prime
VF 113 SETTLEMENT SCHEMES (SOLDIER SETTLEMENT),VA 1073 Rural Finance Commission 1977 -1988 Prime
VF 231 ETHNIC AFFAIRS,VA 1042 Ministry of Ethnic Affairs (also known as Ministry of Immigration and Ethnic Affairs 1977 to 1983) 1977 -1991 Prime
VF 343 PLANNING SCHEMES (TO 1988) GEELONG,VA 426 Geelong Regional Commission 1977 -1993 Prime
VF 138 IMMIGRATION (TWENTIETH CENTURY),VA 1042 Ministry of Ethnic Affairs (also known as Ministry of Immigration and Ethnic Affairs 1977 to 1983) 1977 -ct Prime
"VF 52 ESTATE AGENTS, REGISTRATION OF",VA 428 Registry of Estate Agents 1978 -1980 Prime
VF 170 REGIONAL DEVELOPMENT,"VA 2881 Department of State Development, Decentralisation and Tourism 1978 -1981 Prime"
VF 189 TOURISM,VA 2880 Ministry for Economic Development 1978 -1981 Prime
VF 220 ECONOMIC DEVELOPMENT,"VA 2881 Department of State Development, Decentralisation and Tourism 1978 -1981 Prime"
"VF 480 TOURIST BUREAUX, STATE, MANAGEMENT",VA 2990 Victorian Government Travel Authority 1978 -1983 Prime
VF 418 WATER SUPPLY,VA 1981 Gisborne Sewerage Authority 1978 -1984 Prime
VF 28 CEMETERIES,VA 652 Health Commission of Victoria 1978 -1985 Prime
VF 67 HOSPITALS AND CHARITIES,VA 652 Health Commission of Victoria 1978 -1985 Prime
"VF 125 HEALTH, PUBLIC",VA 652 Health Commission of Victoria 1978 -1985 Prime
"VF 128 HEALTH, MENTAL",VA 652 Health Commission of Victoria 1978 -1985 Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 2695 Department of Health II (commonly known as the Health Department Victoria) 1978 -1985 Prime
VF 314 EDUCATION (POST-SECONDARY) TO C.1987,VA 721 Victorian Post-Secondary Education Commission 1978 -1987 Prime
VF 319 EDUCATION (UNIVERSITY) TO C.1987,VA 721 Victorian Post-Secondary Education Commission 1978 -1987 Prime
VF 205 GOVERNMENT PRINTING,VA 430 Department of Property and Services 1978 -1991 Prime
VF 206 PUBLIC RECORDS,VA 430 Department of Property and Services 1978 -1991 Other
VF 207 GOVERNMENT COMPUTING,VA 430 Department of Property and Services 1978 -1991 Prime
"VF 500 WELFARE, MATERNAL AND CHILD",VA 2633 Department of Community Services (also known as Community Services Victoria) 1978 -1992 Prime
VF 459 PORT OF MELBOURNE - MANAGEMENT AND DEVELOPMENT,VA 1426 Port of Melbourne Authority 1978 -1995 Prime
VF 502 CELEBRATIONS,VA 1834 Australia Day Committee (Victoria) 1978 -ct Prime
VF 111 ANIMAL PROTECTION,VA 551 Ministry for Conservation 1979 -1981 Prime
VF 159 MOTOR REGISTRATION AND DRIVER LICENSING,VA 724 Victoria Police (including Office of the Chief Commissioner of Police) 1979 -1981 Prime
VF 160 ROAD SAFETY AND TRAFFIC MANAGEMENT,VA 421 Ministry for Police and Emergency Services 1979 -1981 Prime
VF 3 CENSUS AND STATISTICS,VA 430 Department of Property and Services 1979 -1982 Prime
VF 418 WATER SUPPLY,VA 4128 Rosedale Sewerage Authority 1979 -1983 Prime
VF 418 WATER SUPPLY,VA 2049 Woodend Sewerage Authority 1979 -1983 Prime
VF 479 TOURISM PUBLICITY AND PROMOTION,VA 2990 Victorian Government Travel Authority 1979 -1983 Prime
VF 93 PROBATION AND PAROLE SERVICES (YOUTH),VA 613 Department of Community Welfare Services 1979 -1985 Prime
VF 251 WELFARE SERVICES (PRE-SCHOOL CHILDREN),VA 652 Health Commission of Victoria 1979 -1985 Prime
VF 252 WELFARE SERVICES,VA 613 Department of Community Welfare Services 1979 -1985 Prime
VF 267 EMPLOYMENT OF CHILDREN,VA 613 Department of Community Welfare Services 1979 -1985 Prime
"VF 298 CHILDREN'S HOMES, FUNDING",VA 613 Department of Community Welfare Services 1979 -1985 Prime
VF 424 CHILD MAINTENANCE (FINANCIAL ALLOWANCES FOR),VA 613 Department of Community Welfare Services 1979 -1985 Prime
"VF 427 CHILDREN, NEGLECTED, REGISTRATION OF HOMES FOR",VA 613 Department of Community Welfare Services 1979 -1985 Prime
"VF 450 JUVENILE DELINQUENTS, DETENTION AND WELFARE OF",VA 613 Department of Community Welfare Services 1979 -1985 Prime
VF 496 WELFARE SERVICES (FAMILY),VA 613 Department of Community Welfare Services 1979 -1985 Prime
VF 498 WELFARE SERVICES (NEGLECTED CHILDREN),VA 613 Department of Community Welfare Services 1979 -1985 Prime
VF 499 WELFARE SERVICES (YOUTH),VA 613 Department of Community Welfare Services 1979 -1985 Prime
VF 10 POLICE,VA 421 Ministry for Police and Emergency Services 1979 -1992 Prime
VF 54 GOVERNMENT REPORTING SERVICE,VA 2825 Attorney-General's Department (previously known as the Law Department) 1979 -1992 Prime
VF 13 PRISONS AND YOUTH TRAINING CENTRES,VA 613 Department of Community Welfare Services 1979 -ct Prime
VF 190 PROBATION AND PAROLE SERVICES (ADULT),VA 613 Department of Community Welfare Services 1979 -ct Prime
VF 208 ELECTORAL OFFICE,VA 430 Department of Property and Services 1979 -ct Prime
"VF 433 ELECTORAL LAWS, ADMINISTRATION OF",VA 1061 State Electoral Office [Department of Property and Services 1979-1988] 1979 -ct Prime
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,VA 704 Ministry of Employment and Training 1980 -1980 - 1985 Other
VF 314 EDUCATION (POST-SECONDARY) TO C.1987,VA 4085 Victorian Post-Secondary Education Commission Accreditation Board 1980 -1980 - 1987 Other
VF 315 EDUCATION (TECHNICAL/VOCATIONAL) TO C.1987,VA 1176 Technical and Further Education Board 1980 -1980 - 1987 Prime
VF 363 RENEWABLE ENERGY,VA 1396 Victorian Solar Energy Council 1980 -1980 - 1990 Prime
"VF 52 ESTATE AGENTS, REGISTRATION OF",VA 2825 Attorney-General's Department (previously known as the Law Department) 1980 -1980 - 1992 Prime
VF 194 ARTS,VA 1072 Geelong Performing Arts Centre Trust 1980 -ct Prime
VF 400 PARLIAMENT,VA 3093 Public Bodies Review Committee 1980 -ct Prime
VF 159 MOTOR REGISTRATION AND DRIVER LICENSING,VA 421 Ministry for Police and Emergency Services 1981 -1981 - 1981 Prime
VF 189 TOURISM,"VA 2881 Department of State Development, Decentralisation and Tourism 1981 -1981 - 1981 Prime"
VF 224 INDUSTRIAL RELATIONS,VA 1027 Department of Labour and Industry 1981 -1981 - 1982 Other
VF 159 MOTOR REGISTRATION AND DRIVER LICENSING,VA 2738 Transport Regulation Board 1981 -1981 - 1983 Prime
VF 160 ROAD SAFETY AND TRAFFIC MANAGEMENT,VA 487 Road Safety And Traffic Authority 1981 -1981 - 1983 Prime
VF 170 REGIONAL DEVELOPMENT,VA 2880 Ministry for Economic Development 1981 -1981 - 1983 Prime
VF 186 PLANNING SCHEMES (TO 1988),VA 599 Department of Planning 1981 -1981 - 1983 Prime
VF 189 TOURISM,VA 2879 Ministry for Tourism II 1981 -1981 - 1983 Prime
VF 220 ECONOMIC DEVELOPMENT,VA 2880 Ministry for Economic Development 1981 -1981 - 1983 Prime
"VF 303 BUILDINGS, HISTORIC (PROTECTION OF)",VA 599 Department of Planning 1981 -1981 - 1983 Prime
VF 329 PLANNING (TO 1988),VA 599 Department of Planning 1981 -1981 - 1983 Prime
VF 418 WATER SUPPLY,VA 4674 Mirboo North Sewerage Authority 1981 -1981 - 1984 Prime
VF 111 ANIMAL PROTECTION,VA 618 Department of Agriculture 1981 -1981 - 1985 Prime
VF 242 PLANNING APPEALS,VA 1408 Planning Appeals Board 1981 -1981 - 1987 Prime
VF 456 OVERSEAS INVESTMENT IN VICTORIAN INDUSTRY,VA 1109 Victorian Economic Development Corporation 1981 -1981 - 1988 Prime
VF 209 GOVERNMENT COURIER SERVICE,VA 430 Department of Property and Services 1981 -1991 Prime
VF 313 GOVERNMENT INFORMATION SERVICE,VA 430 Department of Property and Services 1981 -1991 Prime
VF 224 INDUSTRIAL RELATIONS,VA 1010 Conciliation and Arbitration Boards (formerly known as Wages Boards 1896-1981) 1981 -1992 Other
"VF 471 RENTAL DISPUTES, INVESTIGATION OF",VA 1026 Ministry of Consumer Affairs 1981 -1992 Prime
VF 19 EDUCATION,VA 4370 Appointments Boards (Primary and Post-Primary) 1981 -1993 Other 
VF 144 INDUSTRIAL APPEALS,VA 1009 Industrial Relations Commission 1981 -1993 Prime
VF 224 INDUSTRIAL RELATIONS,VA 1009 Industrial Relations Commission 1981 -1993 Prime
VF 364 LEGAL AID,VA 877 Legal Aid Commission of Victoria 1981 -1995 Prime
VF 214 GOVERNMENT EMPLOYEE HOUSING,VA 1356 Government Employee Housing Authority 1981 -ct Prime
VF 116 STATE LABORATORIES,VA 1039 Department of the Premier and Cabinet 1982 -1983 Prime
VF 168 INDUSTRIAL RELATIONS (PUBLIC SECTOR),VA 1039 Department of the Premier and Cabinet 1982 -1983 Prime
VF 210 GOVERNMENT MOTOR TRANSPORT,VA 1039 Department of the Premier and Cabinet 1982 -1984 Prime
VF 175 ABORIGINAL AFFAIRS,VA 1039 Department of the Premier and Cabinet 1982 -1985 Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,VA 1039 Department of the Premier and Cabinet 1982 -1985 Prime
VF 3 CENSUS AND STATISTICS,VA 1022 Department of Management and Budget 1982 -1990 Prime
VF 5 FINANCE,VA 1022 Department of Management and Budget 1982 -1990 Prime
VF 29 LAND TAX,VA 1022 Department of Management and Budget 1982 -1990 Prime
VF 339 WOMEN'S AFFAIRS,VA 1039 Department of the Premier and Cabinet 1982 -1992 Prime
VF 340 STATE ARTIST,VA 1025 Ministry for the Arts 1982 -1992 Prime
VF 59 EQUAL OPPORTUNITY,VA 1830 Commissioner for Equal Opportunity 1982 -1993 Prime
VF 470 RENT CONTROL - PRESCRIBED PREMISES,VA 1615 Residential Tenancies Tribunal 1982 -1998 Prime
VF 19 EDUCATION,VA 1225 Registered Schools Board 1982 -ct Other 
VF 49 PRICE CONTROL,VA 2998 Office of Prices (previously Office of the Prices Commissioner) 1982 -ct Prime
VF 64 HEAD OF GOVERNMENT,VA 1039 Department of the Premier and Cabinet 1982 -ct Prime
VF 70 HOSPITAL SUPERANNUATION,VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) 1982 -ct Prime
VF 231 ETHNIC AFFAIRS,VA 1029 Victorian Multicultural Commission (formerly Ethnic Affairs Commission) 1982 -ct Prime
VF 336 EXECUTIVE,VA 2989 Cabinet Office 1982 -ct Prime
VF 492 VICTORIA'S 150TH ANNIVERSARY CELEBRATIONS,VA 1831 Victoria's 150th Anniversary Board 1982 -ct Prime
VF 17 SURVEY,VA 538 Department of Crown Lands and Survey 1983 -1983 Prime
VF 17 SURVEY,"VA 1034 Department of Conservation, Forests and Lands 1983 -1985 Prime"
VF 56 RAFFLES AND BINGO,"VA 1028 Department of Youth, Sport and Recreation 1983 -1985 Prime"
VF 119 AGRICULTURAL EDUCATION,VA 714 Education Department 1983 -1985 Prime
VF 168 INDUSTRIAL RELATIONS (PUBLIC SECTOR),VA 1059 Ministry of Industrial Affairs 1983 -1985 Prime
VF 170 REGIONAL DEVELOPMENT,"VA 1393 Department of Industry, Commerce and Technology 1983 -1985 Prime"
VF 216 LANDATA,VA 1024 Ministry for Planning and Environment 1983 -1985 Prime
VF 220 ECONOMIC DEVELOPMENT,"VA 1393 Department of Industry, Commerce and Technology 1983 -1985 Prime"
"VF 230 FISHERIES, COMMERCIAL LICENCES","VA 1034 Department of Conservation, Forests and Lands 1983 -1985 Prime"
VF 236 COASTAL MANAGEMENT,VA 1024 Ministry for Planning and Environment 1983 -1985 Prime
VF 310 CROWN LANDS (GOVERNMENT),"VA 1034 Department of Conservation, Forests and Lands 1983 -1988 Prime"
VF 15 ROADS AND BRIDGES,VA 1054 Road Construction Authority 1983 -1989 Prime
VF 158 ROADS AND BRIDGES (METROPOLITAN),VA 1054 Road Construction Authority 1983 -1989 Prime
VF 159 MOTOR REGISTRATION AND DRIVER LICENSING,VA 1036 Road Traffic Authority 1983 -1989 Prime
VF 160 ROAD SAFETY AND TRAFFIC MANAGEMENT,VA 1036 Road Traffic Authority 1983 -1989 Prime
"VF 464 RAIL SERVICES, METROPOLITAN",VA 1044 Metropolitan Transit Authority 1983 -1989 Prime
VF 466 RAILWAY CONSTRUCTION,VA 1044 Metropolitan Transit Authority 1983 -1989 Prime
VF 487 TRAMWAYS AND BUS OPERATIONS,VA 1044 Metropolitan Transit Authority 1983 -1989 Prime
VF 488 TRANSPORT REGULATION,VA 1036 Road Traffic Authority 1983 -1989 Prime
"VF 489 TRANSPORT SERVICES : PUBLIC, METROPOLITAN AREA",VA 1044 Metropolitan Transit Authority 1983 -1989 Prime
VF 11 PORTS AND HARBOURS,VA 673 Department of Transport (known as Ministry of Transport 1951 to 1992) 1983 -1990 Prime
VF 26 HERBARIUM,"VA 1034 Department of Conservation, Forests and Lands 1983 -1990 Prime"
VF 27 BOTANIC GARDENS,"VA 1034 Department of Conservation, Forests and Lands 1983 -1990 Prime"
VF 30 FORESTS,"VA 1034 Department of Conservation, Forests and Lands 1983 -1990 Prime"
VF 98 FISHERIES AND WILDLIFE,"VA 1034 Department of Conservation, Forests and Lands 1983 -1990 Prime"
"VF 132 VERMIN, DESTRUCTION IN FORESTS","VA 1034 Department of Conservation, Forests and Lands 1983 -1990 Prime"
VF 133 NOXIOUS WEEDS DESTRUCTION IN FORESTS,"VA 1034 Department of Conservation, Forests and Lands 1983 -1990 Prime"
VF 173 NATIONAL PARKS,"VA 1034 Department of Conservation, Forests and Lands 1983 -1990 Prime"
VF 229 RESEARCH INSTITUTES,"VA 1034 Department of Conservation, Forests and Lands 1983 -1990 Prime"
VF 239 NATIONAL ESTATE,VA 1024 Ministry for Planning and Environment 1983 -1990 Prime
VF 284 CONSERVATION (FLORA),"VA 1034 Department of Conservation, Forests and Lands 1983 -1990 Prime"
VF 309 CROWN LANDS (PUBLIC),"VA 1034 Department of Conservation, Forests and Lands 1983 -1990 Prime"
VF 327 HERITAGE PROTECTION,VA 1024 Ministry for Planning and Environment 1983 -1990 Prime
VF 328 ENVIRONMENT PROTECTION,VA 1024 Ministry for Planning and Environment 1983 -1990 Prime
VF 347 ENVIRONMENT EFFECTS STATEMENTS,VA 1024 Ministry for Planning and Environment 1983 -1990 Prime
VF 418 WATER SUPPLY,VA 4600 Avon Water Board 1983 -1990 Prime
VF 418 WATER SUPPLY,VA 2239 Moe Water Board 1983 -1991 Prime
VF 418 WATER SUPPLY,VA 2241 Morwell Water Board 1983 -1991 Prime
VF 418 WATER SUPPLY,VA 2220 Traralgon Water Board 1983 -1991 Prime
VF 418 WATER SUPPLY,VA 2222 Woodend Water Board 1983 -1991 Prime
VF 19 EDUCATION,VA 1175 State Board of Education 1983 -1992 Other 
VF 60 PRISONS AND CORRECTIONAL SERVICES,VA 1063 Office of Corrections 1983 -1992 Prime
VF 189 TOURISM,VA 2871 Victorian Tourism Commission 1983 -1992 Prime
VF 479 TOURISM PUBLICITY AND PROMOTION,VA 2871 Victorian Tourism Commission 1983 -1992 Prime
"VF 480 TOURIST BUREAUX, STATE, MANAGEMENT",VA 2871 Victorian Tourism Commission 1983 -1992 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2215 Hamilton Water Board 1983 -1994 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2531 Warrnambool I (Road District 1854-1863; Shire 1863-1994) 1983 -1994 Prime
VF 418 WATER SUPPLY,VA 4770 Romsey - Lancefield Water Board 1983 -1994 Prime
VF 418 WATER SUPPLY,VA 4774 Shire of Melton (Water Board) 1983 -1994 Prime
VF 418 WATER SUPPLY,VA 2182 Bacchus Marsh Shire Council Waterworks Trust 1983 -1994 Prime
"VF 303 BUILDINGS, HISTORIC (PROTECTION OF)",VA 1405 Historic Buildings Council (known as Historic Buildings Preservation Council 1974 - 1981) 1983 -1995 Prime
"VF 304 BUILDINGS, GOVERNMENT (PRESERVATION OF)",VA 1405 Historic Buildings Council (known as Historic Buildings Preservation Council 1974 - 1981) 1983 -1995 Prime
VF 435 FILM PRODUCTION AND PROMOTION,"VA 3095 Department of Arts, Sport and Tourism 1983 -1996 Prime"
"VF 39 BIRTHS, DEATHS AND MARRIAGES","VA 983 Registry of Births, Deaths and Marriages (including 1983-1986 Assistant Government Statist, Registration of Births, Deaths and Marriages) 1983 -ct Prime"
VF 83 MUSEUMS,VA 3152 Council of the Museum of Victoria (from 1997 known as Museums  Board of Victoria and from 1998 also known as Museum Victoria) 1983 -ct Prime
VF 114 HEALTH SCIENCES BRANCH,VA 2829 State Chemistry Laboratory 1983 -ct Prime
VF 115 CHIEF CHEMIST'S GROUP,VA 2829 State Chemistry Laboratory 1983 -ct Prime
VF 116 STATE LABORATORIES,VA 2829 State Chemistry Laboratory 1983 -ct Prime
VF 186 PLANNING SCHEMES (TO 1988),VA 1024 Ministry for Planning and Environment 1983 -ct Prime
VF 263 MOUNT BUFFALO CHALET,VA 1038 State Transport Authority 1983 -ct Prime
VF 329 PLANNING (TO 1988),VA 1024 Ministry for Planning and Environment 1983 -ct Prime
VF 349 CONSTRUCTION INDUSTRY LONG SERVICE LEAVE,VA 2667 Construction Industry Long Service Leave Board 1983 -ct Prime
