FUNCTION,PERIOD,URL
VF 206 PUBLIC RECORDS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=206 
VF 220 ECONOMIC DEVELOPMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=220 
VF 224 INDUSTRIAL RELATIONS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=224 
VF 229 RESEARCH INSTITUTES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=229 
"VF 230 FISHERIES, COMMERCIAL LICENCES",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=230 
VF 244 BUILDING REGULATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=244 
VF 246 FISH MARKETING,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=246 
VF 247 DOMICILIARY CARE SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=247 
"VF 248 HEALTH, PUBLIC (INFANT AND MATERNAL)",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=248 
VF 249 INTELLECTUAL DISABILITY SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=249 
VF 250 PHYSICAL AND SENSORY DISABILITY SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=250 
VF 251 WELFARE SERVICES (PRE-SCHOOL CHILDREN),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=251 
VF 252 WELFARE SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=252 
VF 254 INDUSTRIAL COMPLIANCE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=254 
VF 255 SHOP REGISTRATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=255 
VF 259 RETAIL TRADING HOURS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=259 
VF 267 EMPLOYMENT OF CHILDREN,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=267 
VF 284 CONSERVATION (FLORA),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=284 
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=286 
"VF 298 CHILDREN'S HOMES, FUNDING",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=298 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
VF 322 OLDER PERSONS' SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=322 
VF 323 SENIOR CITIZENS' WEEK,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=323 
VF 328 ENVIRONMENT PROTECTION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=328 
VF 334 COODE ISLAND CHEMICAL STORAGE (RELOCATION OF),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=334 
VF 340 STATE ARTIST,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=340 
VF 342 PLANNING (POST 1988),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=342 
VF 347 ENVIRONMENT EFFECTS STATEMENTS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=347 
VF 362 EMPLOYMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=362 
VF 424 CHILD MAINTENANCE (FINANCIAL ALLOWANCES FOR),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=424 
"VF 427 CHILDREN, NEGLECTED, REGISTRATION OF HOMES FOR",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=427 
"VF 450 JUVENILE DELINQUENTS, DETENTION AND WELFARE OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=450 
VF 493 WATER RESOURCE MANAGEMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=493 
VF 496 WELFARE SERVICES (FAMILY),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=496 
VF 498 WELFARE SERVICES (NEGLECTED CHILDREN),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=498 
VF 499 WELFARE SERVICES (YOUTH),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=499 
"VF 500 WELFARE, MATERNAL AND CHILD",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=500 
VF 68 PUBLIC SERVICE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=68 
VF 19 EDUCATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=19 
VF 120 SCHOOL ATTENDANCE REGULATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=120 
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=121 
VF 318 EDUCATION (TERTIARY) POST C.1987,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=318 
VF 339 WOMEN'S AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=339 
VF 231 ETHNIC AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=231 
VF 231 ETHNIC AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=231 
VF 10 POLICE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=10 
VF 26 HERBARIUM,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=26 
VF 27 BOTANIC GARDENS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=27 
VF 36 CROWN SOLICITOR'S SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=36 
VF 54 GOVERNMENT REPORTING SERVICE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=54 
VF 72 WORKERS' COMPENSATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=72 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 141 CONSUMER PROTECTION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=141 
VF 160 ROAD SAFETY AND TRAFFIC MANAGEMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=160 
VF 169 SOLICITOR-GENERAL,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=169 
VF 189 TOURISM,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=189 
VF 194 ARTS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=194 
VF 197 HOUSEBUILDING LIABILITY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=197 
VF 198 PRICES MONITORING,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=198 
VF 207 GOVERNMENT COMPUTING,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=207 
VF 209 GOVERNMENT COURIER SERVICE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=209 
VF 239 NATIONAL ESTATE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=239 
VF 252 WELFARE SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=252 
VF 297 COURTS ADMINISTRATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=297 
VF 330 CROWN LANDS (HISTORIC SITES),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=330 
VF 333 COMMUNITY COUNCIL AGAINST VIOLENCE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=333 
VF 341 PUBLIC SECTOR WORKFORCE MANAGEMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=341 
VF 345 WORKERS COMPENSATION ARBITRATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=345 
VF 346 ACCIDENT REHABILITATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=346 
VF 394 LAW,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=394 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
"VF 471 RENTAL DISPUTES, INVESTIGATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=471 
VF 479 TOURISM PUBLICITY AND PROMOTION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=479 
VF 144 INDUSTRIAL APPEALS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=144 
VF 224 INDUSTRIAL RELATIONS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=224 
"VF 360 TRADE UNIONS, REGISTRATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=360 
VF 47 ELECTRIC LIGHT AND POWER,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=47 
VF 412 TEACHERS (REGISTRATION OF),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=412 
VF 59 EQUAL OPPORTUNITY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=59 
VF 244 BUILDING REGULATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=244 
VF 244 BUILDING REGULATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=244 
VF 244 BUILDING REGULATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=244 
VF 244 BUILDING REGULATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=244 
VF 244 BUILDING REGULATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=244 
VF 326 ARCHAEOLOGICAL SURVEY (ABORIGINAL),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=326 
VF 183 ARCHAEOLOGICAL SURVEY (MARITIME AND HISTORIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=183 
VF 47 ELECTRIC LIGHT AND POWER,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=47 
VF 148 GAS AND FUEL,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=148 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
"VF 307 HEALTH CARE PROFESSIONALS, REGISTRATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=307 
VF 488 TRANSPORT REGULATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=488 
VF 19 EDUCATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=19 
VF 47 ELECTRIC LIGHT AND POWER,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=47 
VF 49 PRICE CONTROL,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=49 
VF 50 STATE TRUSTEE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=50 
"VF 52 ESTATE AGENTS, REGISTRATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=52 
VF 122 RURAL WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=122 
VF 224 INDUSTRIAL RELATIONS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=224 
"VF 311 GOVERNMENT EXPENDITURE, MONITORING AND CONTROL OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=311 
VF 332 CLEAN UP AUSTRALIA DAY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=332 
VF 366 ADMINISTRATIVE APPEALS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=366 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 418 WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=418 
VF 418 WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=418 
VF 418 WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=418 
VF 418 WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=418 
"VF 489 TRANSPORT SERVICES : PUBLIC, METROPOLITAN AREA",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=489 
VF 5 FINANCE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=5 
VF 183 ARCHAEOLOGICAL SURVEY (MARITIME AND HISTORIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=183 
VF 183 ARCHAEOLOGICAL SURVEY (MARITIME AND HISTORIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=183 
VF 327 HERITAGE PROTECTION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=327 
VF 17 SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=17 
VF 24 GEOLOGICAL SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=24 
VF 110 VETERINARY SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=110 
VF 111 ANIMAL PROTECTION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=111 
VF 151 MINING AND EXTRACTIVE INDUSTRIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=151 
VF 152 PETROLEUM INDUSTRY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=152 
VF 184 LOCAL GOVERNMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=184 
VF 215 PLACE NAMES COMMITTEE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=215 
VF 216 LANDATA,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=216 
VF 236 COASTAL MANAGEMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=236 
VF 245 AGRICULTURE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=245 
VF 261 FUEL PRICES REGULATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=261 
VF 313 GOVERNMENT INFORMATION SERVICE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=313 
VF 321 RURAL AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=321 
VF 327 HERITAGE PROTECTION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=327 
VF 473 RURAL WATER RESOURCES POLICY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=473 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 3 CENSUS AND STATISTICS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=3 
VF 5 FINANCE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=5 
VF 5 FINANCE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=5 
VF 29 LAND TAX,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=29 
VF 51 DISCHARGED SERVICEMEN'S EMPLOYMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=51 
VF 78 PROPERTY AND ASSETS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=78 
VF 122 RURAL WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=122 
VF 180 ZOOS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=180 
VF 183 ARCHAEOLOGICAL SURVEY (MARITIME AND HISTORIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=183 
VF 210 GOVERNMENT MOTOR TRANSPORT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=210 
"VF 213 BUILDINGS, GOVERNMENT (MANAGEMENT)",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=213 
"VF 218 BUILDINGS, GOVERNMENT (OUTFITTING)",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=218 
VF 236 COASTAL MANAGEMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=236 
VF 236 COASTAL MANAGEMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=236 
VF 236 COASTAL MANAGEMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=236 
VF 236 COASTAL MANAGEMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=236 
"VF 248 HEALTH, PUBLIC (INFANT AND MATERNAL)",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=248 
"VF 303 BUILDINGS, HISTORIC (PROTECTION OF)",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=303 
"VF 304 BUILDINGS, GOVERNMENT (PRESERVATION OF)",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=304 
VF 348 LAND MONITORING,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=348 
"VF 352 ENGINE DRIVERS AND BOILER ATTENDANTS, CERTIFICATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=352 
"VF 356 SCAFFOLDING INSPECTORS AND SCAFFOLDERS, CERTIFICATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=356 
VF 357 SCAFFOLDING REGULATIONS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=357 
"VF 361 WELDERS OF BOILERS AND PRESSURE VESSELS, CERTIFICATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=361 
VF 364 LEGAL AID,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=364 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 416 WATER AND SEWERAGE AUTHORITIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=416 
VF 110 VETERINARY SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=110 
VF 136 HEALTH AND SAFETY (WORKPLACE),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=136 
VF 150 DANGEROUS GOODS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=150 
VF 136 HEALTH AND SAFETY (WORKPLACE),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=136 
VF 150 DANGEROUS GOODS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=150 
VF 435 FILM PRODUCTION AND PROMOTION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=435 
VF 173 NATIONAL PARKS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=173 
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=14 
VF 170 REGIONAL DEVELOPMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=170 
VF 188 WEIGHTS AND MEASURES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=188 
VF 202 SPORT AND RECREATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=202 
VF 203 YOUTH AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=203 
VF 220 ECONOMIC DEVELOPMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=220 
VF 254 INDUSTRIAL COMPLIANCE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=254 
VF 255 SHOP REGISTRATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=255 
VF 259 RETAIL TRADING HOURS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=259 
VF 267 EMPLOYMENT OF CHILDREN,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=267 
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=286 
VF 321 RURAL AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=321 
VF 325 SCHOOL BUS SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=325 
VF 334 COODE ISLAND CHEMICAL STORAGE (RELOCATION OF),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=334 
VF 362 EMPLOYMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=362 
VF 407 SMALL BUSINESS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=407 
VF 168 INDUSTRIAL RELATIONS (PUBLIC SECTOR),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=168 
